domain,rdap,dns,verdict
4k-box.ca,404,no,AVAILABLE
4k-box.ch,404,no,AVAILABLE
4k-box.de,404,no,AVAILABLE
4k-box.dk,404,no,AVAILABLE
4k-box.fi,404,no,AVAILABLE
4k-box.fr,404,no,AVAILABLE
4k-box.nl,404,no,AVAILABLE
4k-box.no,404,no,AVAILABLE
4k-box.se,,no,UNKNOWN
4k-box.us,404,no,AVAILABLE
4k-iptv.ca,200,yes,TAKEN
4k-iptv.ch,404,no,AVAILABLE
4k-iptv.de,200,yes,TAKEN
4k-iptv.dk,404,no,AVAILABLE
4k-iptv.fi,404,no,AVAILABLE
4k-iptv.fr,200,yes,TAKEN
4k-iptv.nl,429,yes,TAKEN
4k-iptv.no,404,no,AVAILABLE
4k-iptv.se,,no,UNKNOWN
4k-iptv.us,200,yes,TAKEN
4k-player.ca,404,no,AVAILABLE
4k-player.ch,404,no,AVAILABLE
4k-player.de,200,yes,TAKEN
4k-player.dk,404,no,AVAILABLE
4k-player.fi,404,no,AVAILABLE
4k-player.fr,404,no,AVAILABLE
4k-player.nl,404,no,AVAILABLE
4k-player.no,404,no,AVAILABLE
4k-player.se,,no,UNKNOWN
4k-player.us,404,no,AVAILABLE
a133-box.ca,404,no,AVAILABLE
a133-box.ch,404,no,AVAILABLE
a133-box.de,404,no,AVAILABLE
a133-box.dk,404,no,AVAILABLE
a133-box.fi,404,no,AVAILABLE
a133-box.fr,404,no,AVAILABLE
a133-box.nl,404,no,AVAILABLE
a133-box.no,404,no,AVAILABLE
a133-box.se,,no,UNKNOWN
a133-box.us,404,no,AVAILABLE
a133-iptv.ca,404,no,AVAILABLE
a133-iptv.ch,404,no,AVAILABLE
a133-iptv.de,404,no,AVAILABLE
a133-iptv.dk,404,no,AVAILABLE
a133-iptv.fi,404,no,AVAILABLE
a133-iptv.fr,404,no,AVAILABLE
a133-iptv.nl,404,no,AVAILABLE
a133-iptv.no,404,no,AVAILABLE
a133-iptv.se,,no,UNKNOWN
a133-iptv.us,404,no,AVAILABLE
a133p-iptv.ca,404,no,AVAILABLE
a133p-iptv.ch,404,no,AVAILABLE
a133p-iptv.de,404,no,AVAILABLE
a133p-iptv.dk,404,no,AVAILABLE
a133p-iptv.fi,404,no,AVAILABLE
a133p-iptv.fr,404,no,AVAILABLE
a133p-iptv.nl,404,no,AVAILABLE
a133p-iptv.no,404,no,AVAILABLE
a133p-iptv.se,,no,UNKNOWN
a133p-iptv.us,404,no,AVAILABLE
a133s-iptv.ca,404,no,AVAILABLE
a133s-iptv.ch,404,no,AVAILABLE
a133s-iptv.de,404,no,AVAILABLE
a133s-iptv.dk,404,no,AVAILABLE
a133s-iptv.fi,404,no,AVAILABLE
a133s-iptv.fr,404,no,AVAILABLE
a133s-iptv.nl,404,no,AVAILABLE
a133s-iptv.no,404,no,AVAILABLE
a133s-iptv.se,,no,UNKNOWN
a133s-iptv.us,404,no,AVAILABLE
a133t-iptv.ca,404,no,AVAILABLE
a133t-iptv.ch,404,no,AVAILABLE
a133t-iptv.de,404,no,AVAILABLE
a133t-iptv.dk,404,no,AVAILABLE
a133t-iptv.fi,404,no,AVAILABLE
a133t-iptv.fr,404,no,AVAILABLE
a133t-iptv.nl,404,no,AVAILABLE
a133t-iptv.no,404,no,AVAILABLE
a133t-iptv.se,,no,UNKNOWN
a133t-iptv.us,404,no,AVAILABLE
a133u-iptv.ca,404,no,AVAILABLE
a133u-iptv.ch,404,no,AVAILABLE
a133u-iptv.de,404,no,AVAILABLE
a133u-iptv.dk,404,no,AVAILABLE
a133u-iptv.fi,404,no,AVAILABLE
a133u-iptv.fr,404,no,AVAILABLE
a133u-iptv.nl,404,no,AVAILABLE
a133u-iptv.no,404,no,AVAILABLE
a133u-iptv.se,,no,UNKNOWN
a133u-iptv.us,404,no,AVAILABLE
a133v-iptv.ca,404,no,AVAILABLE
a133v-iptv.ch,404,no,AVAILABLE
a133v-iptv.de,404,no,AVAILABLE
a133v-iptv.dk,404,no,AVAILABLE
a133v-iptv.fi,404,no,AVAILABLE
a133v-iptv.fr,404,no,AVAILABLE
a133v-iptv.nl,404,no,AVAILABLE
a133v-iptv.no,404,no,AVAILABLE
a133v-iptv.se,,no,UNKNOWN
a133v-iptv.us,404,no,AVAILABLE
a133w-iptv.ca,404,no,AVAILABLE
a133w-iptv.ch,404,no,AVAILABLE
a133w-iptv.de,404,no,AVAILABLE
a133w-iptv.dk,404,no,AVAILABLE
a133w-iptv.fi,404,no,AVAILABLE
a133w-iptv.fr,404,no,AVAILABLE
a133w-iptv.nl,404,no,AVAILABLE
a133w-iptv.no,404,no,AVAILABLE
a133w-iptv.se,,no,UNKNOWN
a133w-iptv.us,404,no,AVAILABLE
a133x-iptv.ca,404,no,AVAILABLE
a133x-iptv.ch,404,no,AVAILABLE
a133x-iptv.de,404,no,AVAILABLE
a133x-iptv.dk,404,no,AVAILABLE
a133x-iptv.fi,404,no,AVAILABLE
a133x-iptv.fr,404,no,AVAILABLE
a133x-iptv.nl,404,no,AVAILABLE
a133x-iptv.no,404,no,AVAILABLE
a133x-iptv.se,,no,UNKNOWN
a133x-iptv.us,404,no,AVAILABLE
a133y-iptv.ca,404,no,AVAILABLE
a133y-iptv.ch,404,no,AVAILABLE
a133y-iptv.de,404,no,AVAILABLE
a133y-iptv.dk,404,no,AVAILABLE
a133y-iptv.fi,404,no,AVAILABLE
a133y-iptv.fr,404,no,AVAILABLE
a133y-iptv.nl,404,no,AVAILABLE
a133y-iptv.no,404,no,AVAILABLE
a133y-iptv.se,,no,UNKNOWN
a133y-iptv.us,404,no,AVAILABLE
a133z-iptv.ca,404,no,AVAILABLE
a133z-iptv.ch,404,no,AVAILABLE
a133z-iptv.de,404,no,AVAILABLE
a133z-iptv.dk,404,no,AVAILABLE
a133z-iptv.fi,404,no,AVAILABLE
a133z-iptv.fr,404,no,AVAILABLE
a133z-iptv.nl,404,no,AVAILABLE
a133z-iptv.no,404,no,AVAILABLE
a133z-iptv.se,,no,UNKNOWN
a133z-iptv.us,404,no,AVAILABLE
a311d-iptv.ca,404,no,AVAILABLE
a311d-iptv.ch,404,no,AVAILABLE
a311d-iptv.de,404,no,AVAILABLE
a311d-iptv.dk,404,no,AVAILABLE
a311d-iptv.fi,404,no,AVAILABLE
a311d-iptv.fr,404,no,AVAILABLE
a311d-iptv.nl,404,no,AVAILABLE
a311d-iptv.no,404,no,AVAILABLE
a311d-iptv.se,,no,UNKNOWN
a311d-iptv.us,404,no,AVAILABLE
a311ds-iptv.ca,404,no,AVAILABLE
a311ds-iptv.ch,404,no,AVAILABLE
a311ds-iptv.de,404,no,AVAILABLE
a311ds-iptv.dk,404,no,AVAILABLE
a311ds-iptv.fi,404,no,AVAILABLE
a311ds-iptv.fr,404,no,AVAILABLE
a311ds-iptv.nl,404,no,AVAILABLE
a311ds-iptv.no,404,no,AVAILABLE
a311ds-iptv.se,,no,UNKNOWN
a311ds-iptv.us,404,no,AVAILABLE
a311dw-box.ca,404,no,AVAILABLE
a311dw-box.ch,404,no,AVAILABLE
a311dw-box.de,404,no,AVAILABLE
a311dw-box.dk,404,no,AVAILABLE
a311dw-box.fi,404,no,AVAILABLE
a311dw-box.fr,404,no,AVAILABLE
a311dw-box.nl,404,no,AVAILABLE
a311dw-box.no,404,no,AVAILABLE
a311dw-box.se,,no,UNKNOWN
a311dw-box.us,404,no,AVAILABLE
a311dw-iptv.ca,404,no,AVAILABLE
a311dw-iptv.ch,404,no,AVAILABLE
a311dw-iptv.de,404,no,AVAILABLE
a311dw-iptv.dk,404,no,AVAILABLE
a311dw-iptv.fi,404,no,AVAILABLE
a311dw-iptv.fr,404,no,AVAILABLE
